RegionName,StateName,2015_avg_sale,2015_avg_rent,2016_avg_sale,2016_avg_rent,2017_avg_sale,2017_avg_rent,2018_avg_sale,2018_avg_rent,2019_avg_sale,2019_avg_rent,2020_avg_sale,2020_avg_rent
"Chicago, IL",IL,190233.00868000003,1518.2766204000002,200474.13609166665,1551.105514,211743.99610000002,1588.319957,222450.06401666664,1623.3819889166668,228772.00170000002,1665.6693219999997,236891.85410833335,1670.090757166666
"Dallas, TX",TX,191501.30812999996,1188.1494902000002,212103.9224,1238.7053719166668,233181.27760000003,1293.9018704166667,251642.75839166666,1339.6134301666666,260920.6137,1389.2333305833333,273230.64352499996,1412.636604333333
"Houston, TX",TX,181484.93613,1306.2479528000001,192021.28937500002,1312.8262373333334,199631.96738333334,1326.1355932499998,208310.7008916667,1373.0913147499998,217128.087775,1394.818986,226271.78629999995,1401.7579667499997
"Washington, DC",VA,373645.24840000004,1809.4341754000002,382341.9484666667,1833.7764564166664,395482.030275,1867.344202,410559.3300416667,1904.6225501666665,424768.8347416667,1961.2088495833332,448221.413,1955.3666371666666
"Philadelphia, PA",PA,201216.76429,1365.44119,208939.85196666667,1393.8789334166665,218699.5855583333,1431.4795970833331,229128.343675,1473.0306175000003,238851.3568166667,1525.5868504166665,255240.85647499995,1561.744931
"Miami, FL",FL,213336.16028,1633.9409218,232587.201875,1690.1111729166666,252362.68941666666,1728.7705457500003,275901.4772583334,1779.5497824166666,289406.01646666665,1832.339297583333,304829.19295,1874.076186333333
"Atlanta, GA",GA,172492.51267,1130.0372905000002,185717.00115833335,1188.9842072499998,200944.55749166667,1260.3321446666666,219990.58652500002,1338.5839625833335,235827.17225833342,1420.786753,252243.88933333335,1479.7113491666669
"Phoenix, AZ",AZ,216435.84532,1030.9930364000002,235001.51127499997,1082.2320508333335,250725.40959999998,1143.9531176666665,270873.77057500003,1221.9324784166665,288783.94317499996,1321.4392815833335,317874.43682500004,1414.9943183333332
"Riverside, CA",CA,294014.6708099999,1470.7840023,310553.8374416667,1536.05581775,334687.4422666667,1625.507552,369576.25885833334,1718.7968515833334,383352.37332500005,1802.1504013333333,404950.16369166673,1896.5160921666668
"Detroit, MI",MI,126155.6229,941.0959014799998,136578.233575,967.88904595,149407.86728333335,1008.9250176749998,163164.43848333333,1051.57310425,174822.70595833333,1093.7513210000002,184599.83506666668,1136.8543460833334
"Seattle, WA",WA,356758.80192,1499.8448644,398147.47095,1601.3292264166666,446411.5156916667,1710.3776541666673,498628.6157916667,1774.4228451666668,508819.6258166667,1849.2795924166667,542213.6935999999,1874.2989985833335
"Minneapolis, MN",MN,224948.68859,1231.5371996000001,239231.5681583333,1273.4179540833334,256952.6299333333,1331.6283850000002,274015.218425,1391.2768554166666,287095.0439916667,1451.7075368333335,303487.0336833333,1482.7587731666665
"San Diego, CA",CA,476220.5656,1822.8772609,513329.8994583334,1914.2483362499997,553751.4908500001,2020.9614885,589820.8351,2125.6953779166665,602273.760425,2206.525557333333,637801.021975,2257.9339915
"Tampa, FL",FL,160916.00371000002,1151.6049543000001,177751.97715833332,1205.3452869166667,195952.1452083333,1264.1038466666666,213122.60736666663,1333.3533385833332,226009.80819166664,1396.5474103333333,243700.42495000004,1461.3351520833332
"Denver, CO",CO,334760.60601999995,1416.8853917,370921.09619999997,1476.6485804166666,403039.7642833334,1529.2759695833336,431529.53170833335,1585.8850385833332,451697.9495583333,1645.9414635,477591.4408750001,1657.066088166667
"Baltimore, MD",MD,248798.00944,1392.9097438000001,254810.28827499997,1403.307867166667,263117.6935666667,1418.6627175,272254.783275,1434.447727916667,280620.4578583334,1466.5766809999998,292759.08849166665,1481.5851609166668
"St. Louis, MO",MO,142328.53233999998,962.20217907,149041.27270833336,979.9446442083332,156042.8540416667,1001.706226075,163296.18576666666,1027.7490125833333,170274.66943333333,1059.8638454166667,181536.55738333333,1098.03748375
"Orlando, FL",FL,185061.2805,1212.8724654000002,200487.03274166668,1267.236486,218436.78156666664,1330.8237684166668,237106.14224166668,1415.217502583333,252704.3556583333,1484.22428525,268614.25943333335,1510.9190778333332
"Charlotte, NC",NC,170226.09157,1117.9070207,184000.31960000005,1168.4965451666665,199659.14904999998,1226.8583664166667,216615.02149166667,1282.0476251666664,230192.38541666663,1348.8477049166668,248881.281475,1382.3638136666666
"San Antonio, TX",TX,162789.34615,1074.7380738,173672.68574166668,1105.78433075,184805.04308333332,1138.5152536666667,195079.7761583333,1168.0695655833333,203244.12171666665,1207.2636367499997,215188.37147500002,1226.3043529166666
"Portland, OR",OR,310904.97678,1265.2015466,350419.7214916667,1347.3879695,382453.79823333333,1406.2748806666668,404308.59349999996,1445.3865210833335,416191.64445,1497.1913365833332,439295.8694249999,1522.9581790833333
"Sacramento, CA",CA,325040.72159000003,1359.4530144000003,351476.6774833333,1460.8896902499998,382230.5240916666,1588.366719083333,412841.95878333336,1687.3653170833331,427399.1062750001,1769.4614050833334,450736.652325,1842.2043237500004
"Pittsburgh, PA",PA,125925.89197,1062.0917198,130880.38200000003,1073.4908912500002,136460.24598333336,1093.7637782499999,144351.73663333335,1126.1950781666667,150905.53341666664,1164.3990333333334,162725.84295833332,1198.8815204166667
"Cincinnati, OH",OH,144322.45914,949.64072424,152528.66650833332,978.1419006666666,162134.4953,1020.2722016583333,172558.57111666663,1067.4498964166667,184314.88986666666,1125.479473,199258.22329999998,1181.9103880000002
"Austin, TX",TX,265914.10374,1281.9950087,285251.8394166667,1314.5098601666668,300788.37642499997,1346.9677285833332,312360.81899166666,1385.6625723333334,323148.311775,1449.7563945,349828.45840833336,1460.2934607500001
"Las Vegas, NV",NV,211199.49327000004,1072.6858990000003,224467.00048333334,1112.6843650000003,246549.1288583333,1173.2547127499997,282760.98445,1254.2561355,302580.160425,1334.4357223333332,312963.88628333336,1386.5806517499998
"Kansas City, MO",MO,151840.10466,931.08161662,163053.6329333333,961.4587544,176734.138825,1000.8330494333335,191175.16536666665,1037.5883525,202241.62114166666,1076.1320294166667,217541.95306666673,1126.22346475
"Columbus, OH",OH,158198.5441,998.19152857,167711.9446416667,1031.8496321666664,178379.23344999997,1075.2374425833334,192166.89473333335,1132.2388770833334,206092.06734166667,1182.91977375,222790.1915916667,1235.7307309166667
"Indianapolis, IN",IN,135716.17054,989.1081483400001,142560.27044166668,1012.4769676916666,152380.6569583333,1041.7566724166666,164599.09487499998,1084.344200583333,176353.1883833333,1129.5318255833333,192401.347925,1190.9042999166666
"Cleveland, OH",OH,123603.22964,975.5253837800001,130031.97114166665,998.9511886,137236.38419166664,1012.587602875,145182.30410833334,1038.425347333333,153190.41426666666,1077.8444163333334,162308.5890583333,1118.8105440833333
"San Jose, CA",CA,859758.0623599999,2704.7085770999997,914759.4767333334,2785.844954,948403.0084416667,2853.4677420833336,1151484.3514999999,2958.328778083334,1146561.615,3033.561457583334,1161708.2834166668,2971.303359666667
"Nashville, TN",TN,194674.78008999996,1239.7855646,216979.2836916667,1299.9001687500001,242436.17843333332,1354.2128495833333,264494.9842,1392.0572385833332,277886.7101833333,1448.7955485833334,297919.0938916667,1493.0018150833332
"Virginia Beach, VA",VA,218904.25562999997,1159.7817893,223694.20460000003,1167.8226645833333,229638.30308333333,1191.5670890833333,236016.18200833336,1216.1187884166666,242923.33068333333,1253.3115789166666,256922.371975,1299.4638552500003
"Providence, RI",RI,245923.85777999996,1169.7257023,260967.1426083333,1214.9275811666666,280702.84076666663,1274.98141425,298258.0173416667,1349.2380836666666,309929.272525,1416.7138545833334,331818.5891666666,1484.0815808333334
"Jacksonville, FL",FL,166975.55005000002,1077.1637014,180190.88056666663,1108.8436959166665,194619.83189166666,1151.7499491666667,211930.80844166665,1214.22717675,226145.02775,1266.0040804999999,240454.28805833336,1313.5591553333334
"Milwaukee, WI",WI,189961.34458999996,986.05432564,200728.80409999998,997.8118014166665,212894.96758333335,1017.9714049999999,225590.3441833333,1042.9872051666669,238056.17407500002,1072.6690265833336,253934.29261666667,1101.8321530833332
"Oklahoma City, OK",OK,135857.50762,1008.4694145000001,139534.18510833333,1008.9140227583335,143260.01859166668,1014.7371741000001,149481.01102499999,1037.8657924166666,155788.35328333333,1070.3135691666669,166680.83983333333,1100.9902554999999
"Raleigh, NC",NC,221995.25398999997,1163.9836779,238138.77818333334,1199.023859416667,254526.34005833336,1238.407438916667,269670.2390416667,1278.8845335,283598.7718833333,1328.5892983333333,299420.9097416667,1359.8542154166669
"Memphis, TN",TN,117021.72488,963.1670052399999,121651.34684166666,979.3416901750002,129270.47135833332,998.1525704666665,139597.81795833335,1031.7005185833334,150804.782725,1074.0205770833334,164878.31913333334,1153.59348
"Richmond, VA",VA,195096.3591,1059.8167877,205816.83546666664,1084.6329440833333,217685.93878333332,1126.0950641666666,229555.59849166663,1170.1455755,241550.05893333335,1215.937655,257082.48300833334,1258.5290278333334
"Louisville, KY",KY,143023.93879,880.35307512,150562.0552083333,912.217001525,160992.90874166667,956.8660648,170567.39204166664,989.9092157166666,182503.99,1021.2360645833334,194761.32313333335,1059.082157
"New Orleans, LA",LA,171057.88241000002,1258.8153487000002,177178.2643,1280.6121014166667,178019.27618333334,1285.9837061666665,181829.043675,1306.3788371666667,190070.7519583333,1338.7384905000001,203922.6521083333,1372.9894647499998
"Salt Lake City, UT",UT,263505.3021399999,1067.2564578,286856.81193333335,1116.3027036666667,311782.662225,1176.3610335,342087.6516583333,1243.3540015833335,366751.203775,1303.6952598333335,400430.3828333334,1335.4689500000002
"Hartford, CT",CT,225744.34899,1223.2689819,229158.33179166666,1241.1994837500001,235517.10654166664,1266.412382,240275.22808333335,1293.6721931666666,242930.97160000002,1323.9203520833335,252685.5971416667,1368.4805475833334
"Buffalo, NY",NY,138132.74594,844.4028015,145221.50134166665,864.8351982166668,154698.89492499997,898.9276470083333,166645.22658333334,933.7631401333334,175652.08691666662,968.7198258916666,188378.31116666668,1014.5612319
"Birmingham, AL",AL,136286.86291,994.6767688400001,141617.57150833332,1012.52386625,147107.701075,1035.3541880833334,154581.93471666664,1070.3988595833332,165344.03179166667,1112.20151075,179709.85642499998,1151.5574920000001
"Rochester, NY",NY,136320.18178000004,971.3306989499999,145004.7702333333,993.4337023500001,151797.90940833333,1023.1556607499998,153104.02384999997,1061.6157406666669,161049.1844,1093.4096088333333,173264.36283333332,1129.1681915833333
"Grand Rapids, MI",MI,149917.24641,900.24679234,163790.480725,967.5965298416668,180450.62461666667,1034.190615925,195343.97693333335,1086.4706879166667,209308.09425833332,1140.903202166667,225283.4848,1191.1534378333333
"Tucson, AZ",AZ,172990.73612,904.77233239,180079.85086666665,929.1658506083332,191830.72685,976.5706750999999,202077.23944166666,1032.5779014333336,217034.97545,1107.2839378333335,234968.11141666668,1176.0374302499997
"Urban Honolulu, HI",HI,552133.48832,2105.92866,582595.50305,2143.9116540833334,628397.1956666667,2182.019207916667,662489.0856166667,2218.3700162500004,669234.8114416667,2268.8532741666663,681236.1675166668,2277.097273583333
"Tulsa, OK",OK,123928.04876,930.75545619,127636.51778333336,938.4843033583332,134956.47872500002,947.0034296666666,138427.48200000002,964.8538844333334,144542.43726666667,990.4916588749999,158498.46131666668,1033.6418471666666
"Fresno, CA",CA,199931.80244999996,1179.8259309,214030.388525,1225.4188873333335,231440.25868333332,1291.4737296666667,253196.1505916667,1363.51374125,266881.57656666666,1451.4231785833333,282093.80065000005,1532.1521197499999
"Worcester, MA",MA,233798.00756,1169.082254,246654.02662500003,1218.8760820833334,264688.671875,1280.4753290833332,282676.7707666667,1352.7820594999998,293334.11923333333,1425.1358360833335,314015.94632499997,1496.2605440833333
"Omaha, NE",NE,156836.23698,875.5869672599999,165734.86072500004,900.6091112583332,175562.93679166667,930.7391321333334,187161.83130833335,956.1435092583332,198586.64718333332,990.5150763916668,214796.06093333333,1032.5166419166667
"Bridgeport, CT",CT,389351.11515,1958.2167858,394277.48142499995,1982.1192459166668,404118.5131583333,2024.0408923333334,409504.64739166666,2080.4177711666666,410055.8312166667,2148.389443166667,422966.6360250001,2226.76289725
"Greenville, SC",SC,141719.35976,1011.54355166,151107.293775,1059.2620509166668,161057.16385833334,1087.74874175,173098.31443333332,1137.3496003333332,182358.62459999998,1182.290771083333,195756.32859166668,1217.1161606666667
"Albuquerque, NM",NM,171495.19399,947.1945862,178727.0170333334,967.2285940416665,184958.7017333333,995.4202392666665,193171.73164166664,1025.8626039166666,206212.18574999998,1071.5803830833333,225143.09453333332,1129.8474385833333
"Bakersfield, CA",CA,182959.62430000002,1061.2969982,193106.72874166665,1077.0436756666666,202648.36417499997,1114.4073011666667,216201.16315,1160.0411241666666,228124.23369166665,1223.0098854166667,243220.42556666664,1304.386684
"Albany, NY",NY,198403.80433,1129.2284045000001,203306.403625,1156.3422506666668,210588.81726666668,1182.7389033333332,221507.2676916667,1216.281954,230190.82452499997,1238.9476897499999,241984.40444166667,1272.0221830833332
"Knoxville, TN",TN,148394.82257000002,954.21076553,155508.76777500001,978.68162025,164797.13854999997,1023.2463651333331,176458.0428833333,1068.1905279999999,188746.15790833332,1129.8910059999998,207515.29210833335,1190.5331133333334
"Baton Rouge, LA",LA,161688.10035999998,1147.3162206,166748.61753333334,1183.3811396666667,165859.68805000003,1210.1169561666668,174352.55138333334,1208.226136,178038.00200833334,1208.44295825,185103.582175,1213.978775
"McAllen, TX",TX,91444.664113,898.04771021,96933.71869666666,911.7793306083335,100650.37234833335,914.67265755,105670.01516666666,928.3861454749999,110553.1062,947.5991407333332,121015.39928333332,971.3157333166668
"New Haven, CT",CT,216827.32097,1329.2406707,218596.59810833333,1359.9091644166667,223421.87935833333,1393.3261081666667,229988.89279166667,1433.5307890000001,236582.17570833335,1480.45559625,250771.7474166667,1539.7724859166665
"El Paso, TX",TX,122714.77639000001,1026.7324172,125276.31216666666,1025.4176594166665,129704.39534166666,1033.8098239166668,132119.44057500004,1048.07161975,135953.23369999998,1075.3631796666666,144077.15632500002,1130.9316346666667
"Allentown, PA",PA,177897.05578,1117.5161997,182688.78420833332,1145.79176675,189355.92438333333,1178.173926083333,199200.37294166666,1218.2856048333333,207167.14201666668,1261.747301666667,222076.54396666668,1323.1550225833332
"Oxnard, CA",CA,512612.37542000005,1972.2172232,543495.4872916666,2053.1055525833335,576033.3955249999,2152.76180525,607546.3737166667,2247.0536460833337,617837.5212916667,2317.0085462499997,643203.4448666667,2378.7260595833336
"Columbia, SC",SC,127817.56951000002,942.25545585,133985.99852499997,965.1428748000002,140118.9737666667,994.2082909083333,146677.9841666667,1031.9228462500002,154272.61843333332,1076.0754814166667,165128.16029166666,1119.9414909166665
"North Port, FL",FL,222141.19043999998,1346.3517730999997,241976.92164166667,1402.0220518333335,256618.56699999995,1461.0981664166666,268608.91962500004,1517.4937208333333,278013.33693333337,1581.0732835,291745.24923333334,1632.5157558333333
"Charleston, SC",SC,215278.31647999998,1195.7351684,231634.41643333333,1249.8615724999997,246620.87285833337,1306.2288283333332,262133.60343333334,1352.8149931666665,271313.289825,1403.2094271666667,284524.1745916667,1433.3745064166667
"Greensboro, NC",NC,123150.6121,904.6898658800001,127600.72354166668,919.9043319583335,133223.27064166666,953.7857744416666,142726.718875,989.0387312583333,153754.70854166665,1037.1633775833334,166618.00710833335,1092.7971648333335
"Stockton, CA",CA,275088.36126,1377.4226224000001,302290.30045000004,1488.1280498333333,333117.607825,1608.9650971666663,364916.29170833336,1712.3886723333333,385416.62419999996,1800.5842583333333,407658.01554999995,1917.9592861666663
"Cape Coral, FL",FL,192376.06720999998,1148.5943348,213459.75777499998,1231.0213164166667,224933.49869166664,1287.778982333333,232563.4548083333,1349.36628625,237330.11158333332,1400.4718355000002,246637.51166666663,1460.8271269166664
"Boise City, ID",ID,216879.73264,977.4461590000001,236233.624025,1034.8771337249998,259186.02866666668,1109.9765045000001,290292.1469166667,1197.8172592500002,325130.92531666666,1292.2869163333332,368382.45431666664,1378.2549508333332
"Colorado Springs, CO",CO,243161.45368000004,1085.8810111,262252.2700833333,1150.6579634166667,286033.2077916666,1231.6262254166668,314611.8427916667,1305.3773045833334,336545.6995749999,1372.860194,364839.550675,1443.9567747499998
"Little Rock, AR",AR,133486.60181,871.5008901300001,136765.14435,877.7149095416668,138287.5011416667,895.7336953666668,142464.18814166667,909.0966704749999,145932.7823,932.6322396416667,152839.35858333332,971.7917251583334
"Lakeland, FL",FL,138462.81196000002,1065.3194473999997,150635.88873333333,1109.9723766666668,165122.41513333336,1168.79383275,181520.53079166668,1243.7494729166667,196238.6732333333,1322.4461191666664,211297.46470833337,1387.74066925
"Akron, OH",OH,119894.12932000002,838.3359302900001,125952.58013333334,857.2018552083332,132449.87355000002,876.5396029499999,140256.92342500002,896.4825873999999,148353.7687833334,931.3804356416666,158462.9291083333,969.0310504416667
"Des Moines, IA",IA,153865.98405,969.3775305700001,164686.9677833333,975.3610296000002,175152.09482499995,992.1223006249999,186769.03626666663,1007.2262935166667,197705.07973333335,1029.3745691666668,209831.28264166668,1050.319184166667
"Springfield, MA",MA,205040.35468,1147.2384911,212172.34935000003,1188.6457751666667,221039.35380833337,1217.1013443333331,232022.099375,1268.338552833333,240080.10501666667,1313.7090125833336,254631.23424166665,1373.5149470833333
"Ogden, UT",UT,223323.73992000002,994.17518727,244442.85876666664,1045.2663995,268267.9855166667,1107.4166656666664,293231.03095833334,1180.4615593333333,319275.376675,1255.0315590000002,351417.85548333335,1320.47649475
"Madison, WI",WI,221522.42600000004,1076.8595339999997,237184.03248333334,1099.2804191666664,253343.99061666665,1129.4166320000002,269297.51454999996,1153.960656166667,283270.41250833333,1190.7691571666667,301945.46476666664,1225.38761675
"Winston, NC",NC,126690.52097,1021.3557607999999,131202.0407416667,1043.9430122499998,136959.72333333336,1084.6371312499998,145670.24088333335,1128.1199880000001,156940.6914083333,1190.1459995,170523.65422499998,1255.1040455833333
"Deltona, FL",FL,159215.02813,1037.61290745,174171.20865,1099.59090025,191430.72569999998,1163.7819834166664,210020.96705,1241.819428,222940.38763333333,1310.6077613333332,238064.25894999996,1368.70155025
"Provo, UT",UT,265737.49837000004,1082.5560515000002,290253.8754083333,1135.6093723333333,312241.0312,1198.6473711666667,340746.3708666667,1258.41476675,368771.47822499997,1310.4585732500002,397513.89561666665,1354.2364654166665
"Toledo, OH",OH,104541.02253999999,856.19197119,110649.50853333331,876.8867133083335,115649.58737500002,893.2176231083332,123411.13209999999,916.7421198583334,130172.31710833334,942.6021536,139545.84580833334,974.9166400250001
"Wichita, KS",KS,114227.76831,749.22683806,118401.65785833332,754.1664040916667,122688.57253333332,762.4320822333333,128150.19936666667,774.4900555333334,135210.28509166668,792.4023503916666,148912.08610000001,821.7204180666666
"Augusta, GA",GA,119105.96963000002,865.96657891,123695.46360833333,887.3186604916665,127262.05335833335,910.3745174749998,135706.58274166667,941.1330034166666,146183.97208333333,982.5057012583335,157328.37970833332,1044.105637
"Palm Bay, FL",FL,164009.97593999997,1063.0739630000003,181926.22263333332,1134.9714955833335,203069.51344999997,1221.3716002499998,221912.0309166666,1304.6379479166665,231511.60056666666,1369.4016212499998,246834.23540833333,1430.5518528333332
"Harrisburg, PA",PA,167525.4252,910.0233199799999,172081.14034166667,933.6407161583332,177235.08326666665,954.8599709499999,183057.41269166666,986.5245176333333,190174.80193333337,1029.2646036666665,202030.457975,1064.2689853333334
"Spokane, WA",WA,185441.42258,835.2838988,200418.58769166667,943.3306172833331,220904.74699999997,999.3169593333333,244822.239925,1068.40040675,270362.9794666667,1128.75906575,305504.9546333333,1196.0364558333335
"Scranton, PA",PA,102769.56318,764.06404771,105294.24543333333,795.352918575,105831.7377,815.5979786500002,114171.43287499998,849.0675816166668,119204.94208333334,887.3466660416667,128695.23193333331,932.8503265666667
"Chattanooga, TN",TN,135896.76842,964.5549388400001,144066.103,991.8728366916666,154375.6075416667,1022.7837461916666,163824.134025,1076.1975465833334,176317.2897,1133.1554185833336,191161.21964166663,1191.7960808333335
"Modesto, CA",CA,240264.54153999995,1099.9557522999999,262546.367225,1200.276675,285792.308725,1312.3672334166667,311867.454175,1397.2927883333334,328828.3684916667,1470.5152926666667,348338.89183333336,1580.5916971666668
"Lancaster, PA",PA,195749.99414999998,840.1920811,202218.12809166664,860.662752475,211369.45244999998,896.89233305,224292.78617500002,935.8811658166666,233479.72875833328,969.7448521666666,246355.6377833333,1011.2586240166669
"Portland, ME",ME,240118.32394000003,1353.8063636000002,255174.2758166667,1423.3483270833333,276998.0350583333,1482.4687645833335,296025.3701833333,1536.9909397500003,310333.06803333334,1600.2289223333335,336928.22861666663,1701.477257166667
"Lansing, MI",MI,117340.72142,741.98028777,124761.18351666666,771.4167115916666,134601.21809166667,795.0883381166667,144441.304425,825.6012588333333,152889.91100833332,860.862078275,165445.862225,901.3982846833334
"Fayetteville, AR",AR,147587.29450999998,983.6659365899999,158224.02689166667,1013.2782484166665,171057.41996666664,1044.6747481666669,181949.09505833333,1073.1153665833335,192125.0608666667,1101.1099044166667,207195.58934166664,1132.66818975
"Fayetteville, NC",NC,128551.53817000003,852.50450576,127988.27914166666,861.8694281499999,130112.84668333334,879.33487215,133131.76309166665,905.3306201249999,137005.20505833335,945.1618425666666,146608.30540833334,1009.8575091083334
"Lexington, KY",KY,150775.69872,894.3911028800001,158706.20559166666,932.036449775,168494.51033333334,961.8144028416665,179758.6649666667,990.4736337166665,188444.603425,1019.6588927000001,201779.04188333332,1051.1482885833334
"Pensacola, FL",FL,140321.75460000001,964.1596223,148016.24735833332,995.8880515000001,158988.3665583333,1037.6037275833335,172437.013125,1099.2131883333334,185582.05955833333,1167.3570615833332,204453.60121666666,1247.5727259166667
"Santa Rosa, CA",CA,497814.70612000005,1832.4003727,542474.6959583334,1979.0762190000003,580572.6647833334,2079.481612916667,638427.3105,2234.601234666666,638449.5986416667,2230.179949666667,653265.4797166667,2252.7698538333334
